País de residencia;Tipo de dato;Año;Mes;Total
Estados Unidos de América;Dato base;2021;4;7726
Francia;Dato base;2021;4;115683
Irlanda;Dato base;2021;4;5459
Italia;Dato base;2021;4;40255
Países Bajos;Dato base;2021;4;26989
Países Nórdicos;Dato base;2021;4;26846
Portugal;Dato base;2021;4;24369
Reino Unido;Dato base;2021;4;23860
Resto América;Dato base;2021;4;25592
Resto de Europa;Dato base;2021;4;95486
Resto del Mundo;Dato base;2021;4;27797
Rusia;Dato base;2021;4;.
Suiza;Dato base;2021;4;38362
Alemania;Dato base;2021;5;338709
Bélgica;Dato base;2021;5;69112
Estados Unidos de América;Dato base;2021;5;14769
Francia;Dato base;2021;5;330343
Irlanda;Dato base;2021;5;8064
Italia;Dato base;2021;5;62693
Países Bajos;Dato base;2021;5;72196
Países Nórdicos;Dato base;2021;5;42166
Portugal;Dato base;2021;5;59443
Reino Unido;Dato base;2021;5;51128
Resto América;Dato base;2021;5;54380
Resto de Europa;Dato base;2021;5;150346
Resto del Mundo;Dato base;2021;5;40574
Rusia;Dato base;2021;5;4374
Suiza;Dato base;2021;5;64866
Alemania;Dato base;2021;6;500058
Bélgica;Dato base;2021;6;102035
Estados Unidos de América;Dato base;2021;6;41616
Francia;Dato base;2021;6;438734
Irlanda;Dato base;2021;6;15764
Italia;Dato base;2021;6;134073
Países Bajos;Dato base;2021;6;147337
Países Nórdicos;Dato base;2021;6;111756
Portugal;Dato base;2021;6;105021
Reino Unido;Dato base;2021;6;142482
Resto América;Dato base;2021;6;67076
Resto de Europa;Dato base;2021;6;246424
Resto del Mundo;Dato base;2021;6;79495
Rusia;Dato base;2021;6;11480
Suiza;Dato base;2021;6;73006
Alemania;Dato base;2021;7;707397
Bélgica;Dato base;2021;7;257589
Estados Unidos de América;Dato base;2021;7;121228
Francia;Dato base;2021;7;875875
Irlanda;Dato base;2021;7;62202
Italia;Dato base;2021;7;220126
Países Bajos;Dato base;2021;7;292840
Países Nórdicos;Dato base;2021;7;297318
Portugal;Dato base;2021;7;149583
Reino Unido;Dato base;2021;7;554277
Resto América;Dato base;2021;7;113756
Resto de Europa;Dato base;2021;7;434998
